,Close
0,14.620667457580566
1,14.005999565124512
2,14.085332870483398
3,14.063332557678223
4,14.041333198547363
5,13.77733325958252
6,13.480667114257812
7,13.616666793823242
8,12.845999717712402
9,12.791333198547363
10,12.871333122253418
11,12.795332908630371
12,13.104666709899902
13,13.441332817077637
14,13.419333457946777
15,13.770000457763672
16,13.732000350952148
17,13.291333198547363
18,13.680000305175781
19,13.573332786560059
20,14.062666893005371
21,14.557332992553711
22,14.569999694824219
23,14.732666969299316
24,14.490667343139648
25,14.498666763305664
26,14.419333457946777
27,14.186667442321777
28,13.525333404541016
29,13.584667205810547
30,13.623332977294922
31,13.630666732788086
32,14.11400032043457
33,14.473999977111816
34,13.822667121887207
35,13.607333183288574
36,13.583999633789062
37,13.812666893005371
38,13.555999755859375
39,13.155332565307617
40,13.303999900817871
41,13.496000289916992
42,13.375332832336426
43,12.925333023071289
44,12.725333213806152
45,12.687999725341797
46,12.916000366210938
47,12.73799991607666
48,12.578666687011719
49,13.046667098999023
50,12.982000350952148
51,13.380666732788086
52,13.043333053588867
53,13.20533275604248
54,13.308667182922363
55,13.447999954223633
56,12.953332901000977
57,12.694000244140625
58,12.333333015441895
59,12.704667091369629
60,12.584667205810547
61,12.505999565124512
62,12.733332633972168
63,13.539999961853027
64,13.550000190734863
65,13.844667434692383
66,14.005999565124512
67,14.0600004196167
68,13.985333442687988
69,13.830666542053223
70,13.85533332824707
71,13.779999732971191
72,13.78600025177002
73,13.684666633605957
74,13.96066665649414
75,14.629332542419434
76,14.573332786560059
77,14.562000274658203
78,15.436667442321777
79,15.36533260345459
80,15.49666690826416
81,15.069999694824219
82,15.0686674118042
83,15.36733341217041
84,15.529999732971191
85,15.362000465393066
86,15.786666870117188
87,15.77400016784668
88,15.965999603271484
89,16.31599998474121
90,16.211999893188477
91,16.273332595825195
92,16.589332580566406
93,16.583332061767578
94,16.47599983215332
95,16.290000915527344
96,16.374666213989258
97,16.51533317565918
98,16.497333526611328
99,16.495332717895508
100,16.76333236694336
101,16.719999313354492
102,16.6299991607666
103,16.55666732788086
104,16.599332809448242
105,16.39466667175293
106,16.609333038330078
107,17.086000442504883
108,17.066667556762695
109,16.713333129882812
110,16.76066780090332
111,16.71266746520996
112,16.691999435424805
113,16.874666213989258
114,17.360666275024414
115,17.459333419799805
116,17.500667572021484
117,17.319332122802734
118,17.844667434692383
